class,filename,author_dot,author_lc,author_len,author_mismatch,author_num,author_oth,author_uc,box_nonother_types,box_other_only,company_mismatch,count_acroform,count_acroform_obs,count_action,count_action_obs,count_box_a4,count_box_legal,count_box_letter,count_box_other,count_box_overlap,count_endobj,count_endstream,count_eof,count_font,count_font_obs,count_image_large,count_image_med,count_image_small,count_image_total,count_image_xlarge,count_image_xsmall,count_javascript,count_javascript_obs,count_js,count_js_obs,count_obj,count_objstm,count_objstm_obs,count_page,count_page_obs,count_startxref,count_stream,count_stream_diff,count_trailer,count_xref,createdate_dot,createdate_mismatch,createdate_ts,createdate_tz,createdate_version_ratio,creator_dot,creator_lc,creator_len,creator_mismatch,creator_num,creator_oth,creator_uc,delta_ts,delta_tz,image_mismatch,image_totalpx,keywords_dot,keywords_lc,keywords_len,keywords_mismatch,keywords_num,keywords_oth,keywords_uc,len_obj_avg,len_obj_max,len_obj_min,len_stream_avg,len_stream_max,len_stream_min,moddate_dot,moddate_mismatch,moddate_ts,moddate_tz,moddate_version_ratio,pdfid0_dot,pdfid0_lc,pdfid0_len,pdfid0_mismatch,pdfid0_num,pdfid0_oth,pdfid0_uc,pdfid1_dot,pdfid1_lc,pdfid1_len,pdfid1_mismatch,pdfid1_num,pdfid1_oth,pdfid1_uc,pdfid_mismatch,pos_acroform_avg,pos_acroform_max,pos_acroform_min,pos_box_avg,pos_box_max,pos_box_min,pos_eof_avg,pos_eof_max,pos_eof_min,pos_image_avg,pos_image_max,pos_image_min,pos_page_avg,pos_page_max,pos_page_min,producer_dot,producer_lc,producer_len,producer_mismatch,producer_num,producer_oth,producer_uc,ratio_imagepx_size,ratio_size_obj,ratio_size_page,ratio_size_stream,size,subject_dot,subject_lc,subject_len,subject_mismatch,subject_num,subject_oth,subject_uc,title_dot,title_lc,title_len,title_mismatch,title_num,title_oth,title_uc,version
FALSE,/home/fengjiao/MalwarePDFDetection/yo/small_data/normalpdf/2016工业控制系统安全报告.pdf,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,156,0,338,95,2,88,0,0,0,20,20,0,0,0,0,0,0,338,0,0,20,0,2,95,0,2,2,0,19,1475498160,10800,2439.64642857,0,16,28,3,1,5,6,-10802,0,0,155400,0,0,0,0,0,0,0,3481.47928994,742011,13,11816.6105263,741960,95,0,1,1475508962,10800,2439.66428902,0,0,32,1,23,0,9,0,0,32,1,21,0,11,TRUE,-1.0,-1.0,-1.0,0.342892449011,0.963152707535,0.00170349291796,0.500318563275,0.999995791767,0.000641334784332,0.984245888766,0.990293288625,0.964610439617,0.368645756796,0.934721882057,0.00206203441157,2,10,24,2,4,5,5,0.130791896962,3515.22780025,59407.3470296,12506.8103947,1188147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
FALSE,/home/fengjiao/MalwarePDFDetection/yo/small_data/normalpdf/2017年最新大数据架构师课程大纲-1701版本v3.pdf,0,12,13,1,0,0,1,0,TRUE,0,0,0,0,0,0,0,0,10,0,82,43,1,11,0,2,8,14,24,0,0,0,0,0,0,82,0,0,5,0,1,43,0,1,1,0,1,1482137297,28800,2450.62383763,0,0,36,2,0,36,0,-28800,0,17,3395357,0,0,0,1,0,0,0,6968.41463415,133992,25,13002.7906977,133939,19,0,1,1482166097,28800,2450.67145668,0,0,32,1,18,0,14,0,0,32,1,18,0,14,FALSE,-1.0,-1.0,-1.0,0.258322697697,0.921751893956,0.000884513526266,0.999991294158,0.999991294158,0.999991294158,0.711198353319,0.974244637637,0.259684813704,0.00189508764171,0.00295650387323,0.000787008098174,3,0,34,2,7,24,3,5.9118881752,7003.98771946,114865.377027,13356.4415499,574327,0,0,0,1,0,0,0,0,0,2,10,0,2,0,7
FALSE,/home/fengjiao/MalwarePDFDetection/yo/small_data/normalpdf/3-22-nmap扫描工具- curl-通过rootkit隐蔽行踪-Linux提权-随堂笔记.pdf,0,12,13,1,0,0,1,0,TRUE,0,0,0,0,0,0,0,0,27,0,99,36,2,29,0,0,6,0,6,0,0,0,0,0,0,99,3,0,16,0,2,36,0,2,2,0,0,-1,-1,-1.0,0,11,42,1,4,25,2,-1458946914,-28801,5,1846120,0,0,0,0,0,0,0,8502.13131313,214286,14,22965.8611111,214215,236,0,1,1458946913,28800,3377.19192824,0,0,32,1,23,0,9,0,0,32,1,23,0,9,FALSE,-1.0,-1.0,-1.0,0.141914592048,0.370982562305,0.000615258644384,0.999889598449,0.999996549952,0.999782646946,0.189100798533,0.384846007086,0.0145994551223,0.187439696028,0.370731858783,0.000349604911949,0,11,42,1,4,25,2,2.1230678291,8783.36354764,54347.0591033,24154.249329,869553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
FALSE,/home/fengjiao/MalwarePDFDetection/yo/small_data/normalpdf/51CTO下载-ModSecurity中文使用手册.pdf,0,0,6,1,0,5,1,0,TRUE,0,0,0,0,0,0,0,0,262,0,316,250,4,61,0,1,2,0,3,0,0,0,0,0,0,316,18,0,61,0,4,250,0,0,0,0,1,1292655542,28800,2493.54849923,1,13,29,2,2,8,6,-38083,0,1,1466012,0,9,29,2,0,18,2,1614.76582278,129930,74,1806.52,129864,18,0,2,1292693625,28800,2493.62196181,0,0,32,1,21,0,11,0,0,32,3,20,0,12,TRUE,-1.0,-1.0,-1.0,0.706501075167,0.956539573366,0.000517108314752,0.742909200834,0.999990279919,0.000954511964448,0.530069070896,0.66196668345,0.331946601762,0.528235544909,0.782734803139,0.00391330465261,2,20,33,2,3,7,3,2.84995110799,1627.84493156,8432.77035356,2057.59599177,514399,0,12,36,1,0,18,6,0,11,32,1,0,16,5,6
FALSE,/home/fengjiao/MalwarePDFDetection/yo/small_data/normalpdf/6、蓝盾防火墙端口安全策略配置指引 V1.0.pdf,0,6,6,1,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,8,0,47,21,2,9,0,0,6,6,12,0,0,0,0,0,0,47,1,0,3,0,2,21,0,2,2,0,0,-1,-1,-1.0,0,11,42,1,4,25,2,-1494796256,-28801,6,1314396,0,0,0,0,0,0,0,8240.53191489,83639,14,18115.1428571,83570,505,0,1,1494796255,28800,3460.1765162,0,0,32,1,19,0,13,0,0,32,1,19,0,13,FALSE,-1.0,-1.0,-1.0,0.110492733953,0.364636621282,0.0011025751368,0.999756822343,0.999992360911,0.999521283774,0.215559380758,0.412908022826,0.0302966258145,0.170152213086,0.364162997782,0.00053982893534,0,11,42,1,4,25,2,3.34692921366,8355.68067328,130905.623031,18700.8086333,392717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
FALSE,/home/fengjiao/MalwarePDFDetection/yo/small_data/normalpdf/7、一些问题.pdf,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,4,0,34,7,1,5,0,0,0,0,0,0,0,0,0,0,0,34,0,0,1,0,1,7,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930.205882353,20293,7,4160.57142857,20213,235,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.170622378897,0.338479304686,0.045827508661,0.999878441622,0.999878441622,0.999878441622,-1.0,-1.0,-1.0,0.0439129642011,0.0439129642011,0.0439129642011,0,0,0,0,0,0,0,0.0,967.823500946,32905.967094,4700.85647131,32906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FALSE,/home/fengjiao/MalwarePDFDetection/yo/small_data/normalpdf/ASP+AC(GET+数值型+有错误回显).pdf,0,2,12,1,0,9,1,0,TRUE,0,0,0,0,0,0,0,0,44,0,476,57,1,26,0,15,5,2,22,0,0,0,0,0,0,476,0,0,13,0,1,57,0,1,1,0,0,-1,-1,-1.0,0,13,50,1,4,30,3,0,0,8,15942659,0,0,0,0,0,0,0,2684.39705882,80909,14,21541.8070175,80840,182,0,0,-1,-1,-1.0,0,0,32,1,20,0,12,0,0,32,1,20,0,12,FALSE,-1.0,-1.0,-1.0,0.156488836878,0.989221304157,0.000725845911957,0.999996908005,0.999996908005,0.999996908005,0.35060381399,0.738618171811,0.0299452021121,0.273159595303,0.735332153737,0.0280969618827,0,13,50,1,4,30,3,12.3236569338,2717.77940606,99512.5308067,22695.8417071,1293663,0,0,0,0,0,0,0,0,5,16,1,0,10,1,5
FALSE,/home/fengjiao/MalwarePDFDetection/yo/small_data/normalpdf/AdobeID.pdf,0,0,0,0,0,0,0,0,TRUE,0,1,0,0,0,0,0,0,11,0,38,8,2,8,0,0,0,2,2,0,0,0,0,0,0,38,0,0,1,0,2,8,0,2,2,0,1,1155934877,-25200,1911.26798446,0,0,0,0,0,0,0,-1035465,-57600,0,115200,0,0,0,0,0,0,0,3495.76315789,113585,12,15937.75,113519,133,0,1,1156970342,32400,1912.98006283,0,0,32,1,23,0,9,0,0,32,1,21,0,11,TRUE,0.00754073710147,0.00754073710147,0.00754073710147,0.184192130104,0.969784943835,0.0093868405577,0.502798931047,0.999962780172,0.00563508192084,0.0369096625154,0.0511474872894,0.0292845604711,0.0119996724655,0.0119996724655,0.0119996724655,0,0,0,0,0,0,0,0.857544831283,3535.1841175,134336.865663,16792.122901,134337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
FALSE,/home/fengjiao/MalwarePDFDetection/yo/small_data/normalpdf/Android平台恶意代码检测通用脱壳机的设计.pdf,0,0,0,0,0,0,0,0,TRUE,0,1,0,0,0,0,0,0,189,0,215,208,2,0,0,5,0,0,5,0,0,0,0,0,0,215,8,0,5,0,2,208,0,0,0,0,1,1495111555,-1,2884.08864776,0,0,39,1,0,39,0,1495111556,0,4,37275829,0,0,0,0,0,0,0,2024.48372093,77996,71,1893.70192308,77835,19,0,0,-1,-1,-1.0,0,0,32,1,20,0,12,0,0,32,1,23,0,9,TRUE,0.00288924998174,0.00288924998174,0.00288924998174,0.676065380894,0.988833254217,0.0033342766377,0.50060934419,0.99998858906,0.00123009932082,0.444420963266,0.778910757321,0.0732970313299,0.40741574162,0.738961056744,0.00354423793179,0,0,30,1,0,30,0,85.0704488607,2038.0278975,87635.182473,2106.61537449,438176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
FALSE,/home/fengjiao/MalwarePDFDetection/yo/small_data/normalpdf/Completed.pdf,0,0,0,0,0,0,0,0,TRUE,0,1,0,0,0,0,0,0,5,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,1,4,0,0,0,0,1,1401781997,28800,4056.08216725,0,0,0,0,0,0,0,1401781998,28801,0,0,0,0,0,0,0,0,0,1000.83333333,3056,66,1322.0,2998,84,0,0,-1,-1,-1.0,0,0,32,1,15,0,17,0,0,32,1,22,0,10,TRUE,0.512577589023,0.512577589023,0.512577589023,0.532342371774,0.552107154525,0.519928128063,0.99918327344,0.99918327344,0.99918327344,-1.0,-1.0,-1.0,0.554884024828,0.554884024828,0.554884024828,0,0,0,0,0,0,0,0.0,1020.33316328,6121.99387801,1530.49961738,6122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
