class,TRUE,TRUE,TRUE,TRUE,TRUE,,,
filename,/home/yonah/Data/God_with_me/2018Q2/Acase1/ac4/VirusShare_00ba5c43b1cec186c634c24ac21982d3.pdf,/home/yonah/Data/God_with_me/2018Q2/Acase1/ac4/FtmpxDwAoE.pdf,/home/yonah/Data/God_with_me/2018Q2/Acase1/ac4/FCtmpRQQRjJ.pdf,/home/yonah/Data/God_with_me/2018Q2/Acase1/ac4/FTtmpxDwAoE.pdf,/home/yonah/Data/God_with_me/2018Q2/Acase1/ac4/FTC_tmpAdqVzZ.pdf,,,
author_dot,0,0,0,0,0,Match,Match,Match
author_lc,0,6,0,6,0,No match,,
author_len,0,14,0,14,11,No match,,
author_mismatch,0,1,0,1,1,No match,,
author_num,0,1,0,1,0,No match,,
author_oth,0,1,0,1,3,No match,,
author_uc,0,6,0,6,8,No match,,
box_nonother_types,1,1,1,1,8,Match,No Match,
box_other_only,FALSE,FALSE,FALSE,FALSE,FALSE,Match,Match,Match
company_mismatch,0,0,0,0,0,Match,Match,Match
count_acroform,0,1,0,1,0,No match,,
count_acroform_obs,0,0,0,0,0,Match,Match,Match
count_action,1,1,1,1,1,Match,Match,Match
count_action_obs,0,0,0,0,0,Match,Match,Match
count_box_a4,0,0,0,0,0,Match,Match,Match
count_box_legal,0,0,0,0,4,Match,No Match,
count_box_letter,1,1,1,1,4,Match,No Match,
count_box_other,0,0,56,0,11,Match,No Match,
count_box_overlap,0,0,0,0,0,Match,Match,Match
count_endobj,17,17,90,17,50,Match,No Match,
count_endstream,6,6,28,6,20,Match,No Match,
count_eof,1,2,1,2,2,No match,,
count_font,0,1,20,1,15,No match,,
count_font_obs,0,0,0,0,0,Match,Match,Match
count_image_large,0,0,14,0,0,Match,Match,No Match
count_image_med,0,0,0,0,0,Match,Match,Match
count_image_small,0,0,15,0,0,Match,Match,No Match
count_image_total,0,0,30,0,0,Match,Match,No Match
count_image_xlarge,0,0,0,0,0,Match,Match,Match
count_image_xsmall,0,0,1,0,0,Match,Match,No Match
count_javascript,1,6,1,6,1,No match,,
count_javascript_obs,0,0,0,0,0,Match,Match,Match
count_js,1,1,1,1,1,Match,Match,Match
count_js_obs,0,0,0,0,0,Match,Match,Match
count_obj,17,17,162,17,82,Match,No Match,
count_objstm,0,0,0,0,0,Match,Match,Match
count_objstm_obs,0,0,0,0,0,Match,Match,Match
count_page,1,1,15,1,4,Match,No Match,
count_page_obs,0,0,0,0,0,Match,Match,Match
count_startxref,1,2,1,2,2,No match,,
count_stream,6,6,28,6,20,Match,No Match,
count_stream_diff,0,0,0,0,0,Match,Match,Match
count_trailer,1,1,1,1,2,Match,No Match,
count_xref,1,1,1,1,2,Match,No Match,
createdate_dot,0,0,0,0,0,Match,Match,Match
createdate_mismatch,0,1,1,1,1,No match,,
createdate_ts,-1,650616173,1189505269,650616173,1262140403,No match,,
createdate_tz,-1,10020,0,10020,-18000,No match,,
createdate_version_ratio,-1,1075.754254,3441.855524,1075.754254,2434.684419,No match,,
creator_dot,0,1,0,1,0,No match,,
creator_lc,0,5,0,5,4,No match,,
creator_len,0,14,0,14,13,No match,,
creator_mismatch,0,1,0,1,1,No match,,
creator_num,0,2,0,2,0,No match,,
creator_oth,0,5,0,5,3,No match,,
creator_uc,0,2,0,2,6,No match,,
delta_ts,0,168532398,-154048751,168532398,18000,No match,,
delta_tz,0,-780,25200,-780,0,No match,,
