class,filename,author_dot,author_lc,author_len,author_mismatch,author_num,author_oth,author_uc,box_nonother_types,box_other_only,company_mismatch,count_acroform,count_acroform_obs,count_action,count_action_obs,count_box_a4,count_box_legal,count_box_letter,count_box_other,count_box_overlap,count_endobj,count_endstream,count_eof,count_font,count_font_obs,count_image_large,count_image_med,count_image_small,count_image_total,count_image_xlarge,count_image_xsmall,count_javascript,count_javascript_obs,count_js,count_js_obs,count_obj,count_objstm,count_objstm_obs,count_page,count_page_obs,count_startxref,count_stream,count_stream_diff,count_trailer,count_xref,createdate_dot,createdate_mismatch,createdate_ts,createdate_tz,createdate_version_ratio,creator_dot,creator_lc,creator_len,creator_mismatch,creator_num,creator_oth,creator_uc,delta_ts,delta_tz,image_mismatch,image_totalpx,keywords_dot,keywords_lc,keywords_len,keywords_mismatch,keywords_num,keywords_oth,keywords_uc,len_obj_avg,len_obj_max,len_obj_min,len_stream_avg,len_stream_max,len_stream_min,moddate_dot,moddate_mismatch,moddate_ts,moddate_tz,moddate_version_ratio,pdfid0_dot,pdfid0_lc,pdfid0_len,pdfid0_mismatch,pdfid0_num,pdfid0_oth,pdfid0_uc,pdfid1_dot,pdfid1_lc,pdfid1_len,pdfid1_mismatch,pdfid1_num,pdfid1_oth,pdfid1_uc,pdfid_mismatch,pos_acroform_avg,pos_acroform_max,pos_acroform_min,pos_box_avg,pos_box_max,pos_box_min,pos_eof_avg,pos_eof_max,pos_eof_min,pos_image_avg,pos_image_max,pos_image_min,pos_page_avg,pos_page_max,pos_page_min,producer_dot,producer_lc,producer_len,producer_mismatch,producer_num,producer_oth,producer_uc,ratio_imagepx_size,ratio_size_obj,ratio_size_page,ratio_size_stream,size,subject_dot,subject_lc,subject_len,subject_mismatch,subject_num,subject_oth,subject_uc,title_dot,title_lc,title_len,title_mismatch,title_num,title_oth,title_uc,version
1,/home/yonah/Downloads/mimicus-master/results/F_gdkde/tmp07pAEv.pdf,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,30,13,1,6,0,0,0,0,0,0,0,0,0,0,0,31,0,0,2,0,0,13,0,2,2,0,1,11050241,-60,21.31605131,0,0,0,0,0,0,0,1320791,-60,0,0,0,1527,4362,1,2835,0,0,431.2142857,5468,12,277.6923077,1260,8,0,1,9729450,0,18.76822917,0,0,32,1,21,0,11,0,0,32,1,16,0,16,1,0.011052632,0.011052632,0.011052632,0.235833333,0.596885965,0.044429825,0.596578947,0.596578947,0.596578947,-1,-1,-1,0.045219298,0.050701754,0.039736842,0,0,0,0,0,0,0,0,735.4838472,11399.9943,1753.846019,22800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1,/home/yonah/Downloads/mimicus-master/results/F_gdkde/tmp0DLBRB.pdf,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,30,13,1,6,0,0,0,0,0,0,0,0,0,0,0,31,0,0,2,0,0,13,0,2,2,0,1,8192283,-60,15.80301505,0,0,0,0,0,0,0,-71552,-60,0,0,0,1527,4362,1,2835,0,0,428.7142857,5406,12,277.0769231,1260,8,0,1,8263835,0,15.94103974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011146004,0.011146004,0.011146004,0.234596842,0.588526693,0.044805166,0.588217082,0.588217082,0.588217082,-1,-1,-1,0.045601309,0.051130081,0.040072537,0,0,0,0,0,0,0,0,729.3225571,11304.49435,1739.153712,22609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1,/home/yonah/Downloads/mimicus-master/results/F_gdkde/tmp0FM8AP.pdf,0,3,4,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,2,1,0,0,0,2,0,4,0,2,2,0,1,1,8,0,0,2,0,1,2,0,2,2,0,1,317440235,2100,0,1,2,7,1,3,2,0,300412674,3060,1,130052,0,1,1,1,0,0,0,1723.285714,11739,29,5817.5,11427,208,0,1,17027561,-960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024970963,0.024970963,0.024970963,0.000567704,0.000645939,0.000489469,0.99998997,0.99998997,0.99998997,0.024946891,0.025041174,0.024848595,0.012745261,0.025091324,0.000399198,1,8,19,1,5,6,0,0.260887183,62312.36721,249249.3754,249249.3754,498499,0,5,7,1,0,1,1,0,9,15,1,0,3,3,0
1,/home/yonah/Downloads/mimicus-master/results/F_gdkde/tmp0FWRJr.pdf,0,3,4,1,0,0,1,0,1,0,1,0,1,0,0,0,0,4,0,27,12,1,6,0,0,2,0,4,0,2,2,0,1,0,27,0,0,3,0,1,12,0,2,2,0,1,279463910,480,404.3169994,1,3,9,1,3,3,0,279463911,1980,1,130052,0,1,1,1,0,0,0,451.3333333,5498,12,311,1260,8,0,1,-1,-1500,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00053549,0.00053549,0.00053549,0.007094703,0.020105391,0.002159025,0.028692424,0.028692424,0.028692424,0.028808696,0.028897233,0.028715892,0.011115141,0.028950569,0.001930749,1,8,19,1,5,6,0,0.277456105,17360.36973,156243.2813,39060.83008,468730,0,5,7,1,0,1,1,0,8,14,1,0,3,3,8
1,/home/yonah/Downloads/mimicus-master/results/F_gdkde/tmp0GLDZv.pdf,0,3,4,1,0,0,1,0,1,0,1,0,1,0,0,0,0,4,0,27,12,1,6,0,0,2,0,4,0,2,2,0,1,0,27,0,0,2,0,1,13,1,2,2,0,1,288802486,540,417.8276707,1,3,9,1,3,3,0,288802487,1980,1,130052,0,1,1,1,0,0,0,499.4444444,6672,12,321.25,1260,8,0,1,-1,-1440,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000670518,0.000670518,0.000670518,0.007772108,0.022487665,0.002275123,0.031096867,0.031096867,0.031096867,0.031211783,0.031299287,0.031120061,0.002313077,0.002576646,0.002049509,1,8,19,1,5,6,0,0.274220891,17565.18453,237129.8814,36481.53566,474260,0,5,7,1,0,1,1,0,8,14,2,0,3,3,8
1,/home/yonah/Downloads/mimicus-master/results/F_gdkde/tmp0GTHgk.pdf,0,3,4,1,0,0,1,1,0,0,1,0,1,0,0,0,1,2,0,9,3,1,0,0,0,3,0,5,0,2,2,0,1,0,9,0,0,2,0,1,3,0,2,2,0,1,317569978,2040,525.0826356,1,2,7,1,3,2,0,293700636,2580,1,195077,0,1,1,1,0,0,0,866.3333333,5912,48,2395.333333,5856,298,0,1,23869342,-540,39.46650463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017088108,0.017088108,0.017088108,0.005340034,0.014035182,0.000422235,0.999989651,0.999989651,0.999989651,0.017037606,0.017160551,0.016914247,0.008799672,0.017212295,0.000387049,1,8,19,1,5,6,0,0.403766587,53682.54959,241571.3792,161047.613,483143,0,5,7,1,0,1,1,0,9,15,1,0,3,3,7
1,/home/yonah/Downloads/mimicus-master/results/F_gdkde/tmp0IsVI0.pdf,0,3,4,1,0,0,1,2,0,0,1,0,1,0,0,0,2,1,0,7,1,1,0,0,0,2,0,4,0,2,2,0,1,0,8,0,0,3,0,1,1,0,2,2,0,1,234997216,-240,339.9843981,1,2,8,1,3,3,0,234997217,1860,1,130052,0,1,1,1,0,0,0,288.5,1636,43,1561,1561,1561,0,1,-1,-2100,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005784505,0.005784505,0.005784505,0.005071082,0.005185934,0.004919344,0.999992455,0.999992455,0.999992455,0.006776673,0.006881045,0.00666727,0.006417447,0.006961525,0.005346894,1,8,19,1,5,6,0,0.327081038,49701.74379,132537.9558,397613.6024,397614,0,5,7,1,0,1,1,0,8,14,1,0,3,3,8
1,/home/yonah/Downloads/mimicus-master/results/F_gdkde/tmp0KeRv7.pdf,0,4,5,2,0,0,1,0,1,0,1,0,1,0,0,0,0,2,0,19,9,1,2,0,0,2,0,4,0,2,2,0,1,0,19,0,0,3,0,1,9,0,2,2,0,1,178332053,-1380,258.0035489,1,2,8,2,3,3,0,178332054,960,1,130052,0,1,1,1,0,0,0,701.1578947,10479,41,1315,10421,8,0,1,-1,-2340,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036738014,0.036738014,0.036738014,0.018014515,0.035806442,0.000222588,0.99998626,0.99998626,0.99998626,0.0378908,0.038004842,0.037771262,0.025510601,0.038092778,0.000365484,1,8,19,1,5,6,0,0.357382915,19152.6832,121300.2929,40433.43995,363901,0,5,6,2,0,0,1,0,8,13,2,0,2,3,8
1,/home/yonah/Downloads/mimicus-master/results/F_gdkde/tmp0N7tTL.pdf,0,3,4,1,0,0,1,1,0,0,1,0,1,0,0,0,1,2,0,9,3,1,0,0,0,3,0,5,0,2,2,0,1,0,9,0,0,2,0,1,3,0,2,2,0,1,317428142,2040,524.8481184,1,2,7,1,3,2,0,293514583,2580,1,195077,0,1,1,1,0,0,0,899,6112,48,2495.333333,6059,332,0,1,23913559,-540,39.53961475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017695598,0.017695598,0.017695598,0.005524614,0.014518669,0.000422211,0.999989652,0.999989652,0.999989652,0.017645099,0.017768037,0.017521747,0.009103402,0.017819778,0.000387027,1,8,19,1,5,6,0,0.403743188,53685.6607,241585.3792,161056.9463,483171,0,5,7,1,0,1,1,0,9,15,1,0,3,3,7
1,/home/yonah/Downloads/mimicus-master/results/F_gdkde/tmp0NOGUI.pdf,0,4,5,2,0,0,1,0,1,0,1,0,1,0,0,0,0,2,0,19,9,1,2,0,0,2,0,4,0,2,2,0,1,0,19,0,0,3,0,1,9,0,2,2,0,1,219239228,-240,317.1863831,1,2,8,2,3,3,0,219239229,1800,1,130052,0,1,1,1,0,0,0,752.4736842,9293,34,1415.888889,9222,26,0,1,-1,-2040,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012386664,0.012386664,0.012386664,0.009198113,0.011338929,0.007057296,0.999990453,0.999990453,0.999990453,0.036087198,0.036186244,0.035983379,0.026545012,0.036262616,0.007126509,1,8,19,1,5,6,0,0.310387376,22052.57779,139666.2868,46555.43927,418999,0,5,6,2,0,0,1,0,8,13,2,0,2,3,8
