feat,imp,
count_acroform_obs,0,
count_box_legal,0,
count_box_overlap,0,
count_image_xlarge,0,
count_objstm_obs,0,
createdate_dot,0,
keywords_dot,0,
moddate_dot,0,
pdfid0_dot,0,
pdfid1_dot,0,
pos_acroform_avg,0,
pos_acroform_max,0,
pos_acroform_min,0,
pos_box_avg,0,
pos_box_max,0,
pos_box_min,0,
pos_eof_avg,0,
pos_eof_max,0,
pos_eof_min,0,
pos_image_avg,0,
pos_image_max,0,
pos_image_min,0,
pos_page_avg,0,
pos_page_max,0,
pos_page_min,0,
ratio_size_obj,0,
ratio_size_page,0,
ratio_size_stream,0,
count_image_xsmall,3.92E-06,
subject_num,5.21E-06,
count_js_obs,6.23E-06,
keywords_num,7.54E-06,
company_mismatch,7.60E-06,
count_action_obs,8.90E-06,
count_font_obs,9.20E-06,
count_image_med,9.75E-06,
subject_dot,9.83E-06,
image_mismatch,1.02E-05,
count_box_a4,1.24E-05,
count_page_obs,1.51E-05,
count_javascript_obs,2.06E-05,
keywords_mismatch,4.02E-05,
keywords_uc,5.03E-05,
subject_uc,5.21E-05,
subject_mismatch,6.74E-05,
pdfid1_lc,6.91E-05,
ratio_imagepx_size,8.65E-05,
author_dot,8.83E-05,
keywords_oth,0.000108747,
count_image_small,0.000113665,
pdfid0_lc,0.000138114,
keywords_lc,0.000175029,
count_image_large,0.000186595,
author_num,0.000203348,
pdfid1_oth,0.000209335,
keywords_len,0.000219225,
title_mismatch,0.000229691,
author_mismatch,0.000240481,
creator_mismatch,0.00024828,
count_image_total,0.000257577,
count_stream_diff,0.000293184,
pdfid0_oth,0.000308552,
author_oth,0.000318753,
author_lc,0.000377642,
creator_num,0.000433365,
count_objstm,0.000434407,
delta_tz,0.000457432,
creator_dot,0.000494153,
image_totalpx,0.000525945,
author_uc,0.000590575,
count_acroform,0.00059122,
delta_ts,0.000593865,
pdfid0_uc,0.000598701,
createdate_ts,0.000630447,
count_action,0.000659193,
subject_oth,0.000664181,
count_xref,0.000734637,
author_len,0.000735995,
creator_oth,0.000767582,
box_nonother_types,0.00078875,
moddate_ts,0.000791451,
title_lc,0.000852421,
version,0.000896708,
title_uc,0.000922873,
subject_len,0.001010892,
title_dot,0.001159994,
createdate_tz,0.001171582,
pdfid1_uc,0.001268687,
count_trailer,0.001283427,
title_len,0.001408867,
len_stream_min,0.001459201,
title_num,0.001473465,
subject_lc,0.001520571,
count_eof,0.001627754,
moddate_tz,0.00170002,
createdate_mismatch,0.001802402,
count_box_letter,0.002237435,
moddate_mismatch,0.00229138,
pdfid_mismatch,0.002390296,
creator_uc,0.003381553,
box_other_only,0.003494376,
creator_lc,0.003601261,
title_oth,0.004372838,
moddate_version_ratio,0.00442848,
creator_len,0.005603249,
createdate_version_ratio,0.005680941,
pdfid0_mismatch,0.00604359,
pdfid1_mismatch,0.007617303,
count_page,0.008105713,
len_obj_min,0.008178429,
count_startxref,0.009242501,
producer_num,0.01148761,
len_stream_max,0.013086014,
pdfid1_len,0.015948857,
producer_uc,0.016284363,
pdfid0_num,0.016363327,
len_obj_avg,0.016931043,
len_stream_avg,0.017994394,
len_obj_max,0.018316734,
producer_mismatch,0.018667958,
producer_lc,0.01905955,
pdfid0_len,0.0190874,
count_js,0.020743453,
count_endstream,0.030199919,
count_stream,0.036112736,
count_box_other,0.036859911,
producer_dot,0.037493466,
pdfid1_num,0.039755526,
producer_len,0.048369599,
producer_oth,0.050540079,
count_endobj,0.059953544,
count_obj,0.069801065,
size,0.079580861,只需要恶意代码，所以不需要太长，通常只有1页
count_javascript,0.08766233,恶意软件与嵌套脚本
count_font,0.108771606,javascript借助于隐藏在字体里面的。如果是恶意，故意增加一些
