file_name,tags,ratio
/home/yonah/Data/vt_report_pdf/e9f30614d0bea8d6ed3a0c7c6e12dd2bc99754d9ccb7b2be2986c0b7addd3970.html,0,16 / 43
/home/yonah/Data/vt_report_pdf/d19f92b52c399ac84d65c16525e963a3ee977660c20c16522e6fc20429d312e3.html,0, 8 / 41
/home/yonah/Data/vt_report_pdf/2176bb6864c624c1f9f545b2e233b45b166d4730879fd5195bf48919c161a05c.html,0,26 / 43
/home/yonah/Data/vt_report_pdf/89ab5e7ff375a7a1f8d1736232fe268e3dc0fd2e64ece6b0f873f6bef5692286.html,0,29 / 43
/home/yonah/Data/vt_report_pdf/1f9ad287681340ff7691ec83f22e1063863fd209c0df672e26b101115accca70.html,0,30 / 42
/home/yonah/Data/vt_report_pdf/c1483d68c92b6fdb30942137314b3b7c316c4201adcc76b912042278ca352e45.html,"['invalid-xref', 'pdf', 'autoaction', 'js-embedded']",36 / 61
/home/yonah/Data/vt_report_pdf/1b5327fad6494e8569f13f1adcbe407f24c812ac400e8c4e6d7ea47827cf4b05.html,"['js-embedded', 'exploit', 'autoaction', 'pdf', 'invalid-xref', 'acroform', 'cve-2010-0188']",42 / 55
/home/yonah/Data/vt_report_pdf/b696167c6e66fba2f7ed328c04501fd25a20315e563c203df4491a66e5daaf97.html,0,14 / 44
/home/yonah/Data/vt_report_pdf/9243009d0260736676232668add805b9c217fa585a9bb50da1212c6d49cdc3c5.html,0,29 / 42
/home/yonah/Data/vt_report_pdf/f1574ad6eeb2297f1302e08b9d950a5d330b156e6ae7a23dde2060c8c0fac69b.html,"['invalid-xref', 'acroform', 'js-embedded', 'pdf']",40 / 54
/home/yonah/Data/vt_report_pdf/3a29b4b3a010b6eccd9eed8c877bda5b78eb2831e502d1fc34f5e4228e1c60b5.html,"['exploit', 'js-embedded', 'cve-2009-0927', 'pdf', 'invalid-xref', 'acroform']",40 / 53
/home/yonah/Data/vt_report_pdf/0375ceb33c6da62a39cc9564faac2b6e16dfd453bfeb23896fa4b0e8e0678cc6.html,"['invalid-xref', 'acroform', 'js-embedded', 'pdf']",41 / 54
/home/yonah/Data/vt_report_pdf/5644156df7d9b6ad7dad060814c4f662a2e08fcd854bd9785d7f66f5325297a3.html,"['exploit', 'invalid-xref', 'pdf', 'acroform', 'file-embedded', 'cve-2010-0188']",33 / 47
/home/yonah/Data/vt_report_pdf/2a458f60e3ce21147dada674de20b7ffa2d999e731441bb3e6c0296f7f27c246.html,"['invalid-xref', 'js-embedded', 'autoaction', 'pdf']",26 / 46
/home/yonah/Data/vt_report_pdf/f304cc718eb9c16fcd463af3c5f39ee24996fa7d0c8d6629c16bf8da337ba12e.html,"['exploit', 'pdf', 'invalid-xref', 'acroform', 'file-embedded', 'cve-2010-0188']",35 / 49
/home/yonah/Data/vt_report_pdf/4812aa90b382c1e1318dc8069d34372f9f26e6409f327cc630f7c022edc22380.html,"['pdf', 'autoaction']", 4 / 55
/home/yonah/Data/vt_report_pdf/5133a7a79fd7d194a1aa1908ee73bd78fbf917da24b07b16f5d74338b297c9b1.html,"['invalid-xref', 'pdf', 'acroform', 'autoaction', 'js-embedded']",27 / 47
/home/yonah/Data/vt_report_pdf/90a894fd8c3d53643ff0313d5cd944a2df52a9e6c4e55257664fc12370c8877c.html,"['invalid-xref', 'acroform', 'js-embedded', 'pdf']",36 / 46
/home/yonah/Data/vt_report_pdf/e0cddc3c75ac0db0553f30b50abfbb82507b1caa57aa1ebbbaa1883ac8797009.html,"['invalid-xref', 'acroform', 'js-embedded', 'autoaction', 'pdf']",21 / 42
/home/yonah/Data/vt_report_pdf/1763616a4699718ac39bd53554639ff99f4dbfa707f5ac2be278bc41b2db62ce.html,"['invalid-xref', 'acroform', 'pdf', 'js-embedded']",38 / 57
/home/yonah/Data/vt_report_pdf/27b49a56419f9a79516b1f8c4e1147162e0bd0d155631ad8017a924ac453e604.html,0,18 / 42
/home/yonah/Data/vt_report_pdf/dd0d0c5224ed55c839a81353a6820b9940cf2d9d7de275ae64ee10c48fd1e638.html,0,26 / 43
/home/yonah/Data/vt_report_pdf/9cc18120be3f35a1d8b7e5e702814898d9cbf81cc373c69c590c09f5d670a8fa.html,0,29 / 42
/home/yonah/Data/vt_report_pdf/000d578955544011ad3d0c304212db8c6dcc912cf251e238841d77ef764f596c.html,"['exploit', 'pdf', 'invalid-xref', 'acroform', 'file-embedded', 'cve-2010-0188']",40 / 57
/home/yonah/Data/vt_report_pdf/140edd59ccd95a1e2e00a680e5875fa77a8abfdbcc74a8d817a69ca446358213.html,"['invalid-xref', 'acroform', 'file-embedded', 'pdf']",37 / 54
/home/yonah/Data/vt_report_pdf/680722ee202a3e0862709306c947301cd09584bc0746623dc640c32f3e2a0c84.html,0, 3 / 42
/home/yonah/Data/vt_report_pdf/65e99f4e35dabd1bde97f463b1de10119606c044ee186b6446aeebac6324332b.html,['pdf'], 2 / 57
/home/yonah/Data/vt_report_pdf/ba094bc97b83854a7bcfec7c5236bf6ad229f54d2ca3b6dfe519c9d80c16c86a.html,0,26 / 43
/home/yonah/Data/vt_report_pdf/138adadf58b2d499334768e68c0b8462d9fae22bc4060bf62d77992d8dfb0c4a.html,0,28 / 43
/home/yonah/Data/vt_report_pdf/8187f763c3ac4295f96cd1cfa1aee92fb3f37c8dff8f601c1a3f4f930cde3723.html,0,30 / 42
/home/yonah/Data/vt_report_pdf/446605265c3c8502c7793a7dbe74976f9d314738bfa3a3c59a9a82c06bf7cab3.html,['pdf'], 1 / 56
