class,filename,author_dot,author_lc,author_len,author_mismatch,author_num,author_oth,author_uc,box_nonother_types,box_other_only,company_mismatch,count_acroform,count_acroform_obs,count_action,count_action_obs,count_box_a4,count_box_legal,count_box_letter,count_box_other,count_box_overlap,count_endobj,count_endstream,count_eof,count_font,count_font_obs,count_image_large,count_image_med,count_image_small,count_image_total,count_image_xlarge,count_image_xsmall,count_javascript,count_javascript_obs,count_js,count_js_obs,count_obj,count_objstm,count_objstm_obs,count_page,count_page_obs,count_startxref,count_stream,count_stream_diff,count_trailer,count_xref,createdate_dot,createdate_mismatch,createdate_ts,createdate_tz,createdate_version_ratio,creator_dot,creator_lc,creator_len,creator_mismatch,creator_num,creator_oth,creator_uc,delta_ts,delta_tz,image_mismatch,image_totalpx,keywords_dot,keywords_lc,keywords_len,keywords_mismatch,keywords_num,keywords_oth,keywords_uc,len_obj_avg,len_obj_max,len_obj_min,len_stream_avg,len_stream_max,len_stream_min,moddate_dot,moddate_mismatch,moddate_ts,moddate_tz,moddate_version_ratio,pdfid0_dot,pdfid0_lc,pdfid0_len,pdfid0_mismatch,pdfid0_num,pdfid0_oth,pdfid0_uc,pdfid1_dot,pdfid1_lc,pdfid1_len,pdfid1_mismatch,pdfid1_num,pdfid1_oth,pdfid1_uc,pdfid_mismatch,pos_acroform_avg,pos_acroform_max,pos_acroform_min,pos_box_avg,pos_box_max,pos_box_min,pos_eof_avg,pos_eof_max,pos_eof_min,pos_image_avg,pos_image_max,pos_image_min,pos_page_avg,pos_page_max,pos_page_min,producer_dot,producer_lc,producer_len,producer_mismatch,producer_num,producer_oth,producer_uc,ratio_imagepx_size,ratio_size_obj,ratio_size_page,ratio_size_stream,size,subject_dot,subject_lc,subject_len,subject_mismatch,subject_num,subject_oth,subject_uc,title_dot,title_lc,title_len,title_mismatch,title_num,title_oth,title_uc,version
FALSE,/data/pdfrate/contagio-ben/AN1108.pdf,0,0,0,0,0,0,0,18,FALSE,0,0,0,0,0,0,0,18,37,0,185,45,3,23,0,0,4,7,12,0,1,0,0,1,0,185,0,0,9,0,3,45,0,3,3,0,1,1267813356,-28800,3668,0,0,0,0,0,0,0,-120,0,11,638175,0,0,0,0,0,0,0,373.4486486,3531,6,1019.155556,3474,34,0,2,1267813476,-28800,3668,0,0,32,1,21,0,11,0,0,32,2,19,0,13,TRUE,-1,-1,-1,0.498979981,0.912596435,0.016964628,0.640575721,0.999933835,0.010586352,0.376246653,0.627453056,0.133599757,0.455555703,0.915878204,0.021146237,1,14,23,1,2,4,3,8.444931123,408.4810789,8396.554623,1679.311074,75569,0,0,0,0,0,0,0,0,60,90,1,4,13,13,4
FALSE,/data/pdfrate/contagio-ben/fw4sp.pdf,0,0,11,1,0,3,8,6,FALSE,0,3,0,0,0,0,0,6,13,0,70,59,5,7,0,0,0,0,0,0,0,0,0,0,0,70,15,0,3,0,5,59,0,0,0,0,1,1243856070,-14400,2056,1,18,31,1,2,5,6,-26809361,0,0,0,0,7,8,1,0,0,1,1635.314286,13727,31,1622.135593,13677,34,0,2,1270665431,-14400,2100,0,0,32,1,23,0,9,0,0,32,4,19,0,13,TRUE,0.576931949,0.900475779,0.007854671,0.174511473,0.991271626,0.00982699,0.652145329,0.999965398,0.004463668,-1,-1,-1,0.341239908,0.630804498,0.012396194,1,18,31,1,2,5,6,0,1651.428548,38533.32049,1959.322001,115600,0,48,62,1,0,8,6,0,3,17,1,5,5,4,7
FALSE,/data/pdfrate/contagio-ben/akb100.pdf,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,21,0,82,13,1,21,0,0,0,0,0,0,0,0,0,0,0,82,0,0,12,0,1,21,8,1,1,0,0,-1,-1,-1,0,1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2335.865854,16937,39,12960.30769,38068,5273,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1,-1,-1,0.514114227,0.985128715,0.04919518,0.99997941,0.99997941,0.99997941,-1,-1,-1,0.323229113,0.585071062,0.04894295,1,5,12,1,3,2,2,0,2369.109727,16188.91532,9250.809083,194267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
FALSE,/data/pdfrate/contagio-ben/AGF.pdf,0,9,12,1,0,1,2,20,FALSE,1,0,0,0,0,0,0,20,3,0,56,24,2,12,0,0,0,0,0,0,0,0,0,0,0,56,11,0,10,0,2,24,0,2,2,0,0,-1,-1,-1,1,16,29,1,2,5,6,-1111084085,17999,0,0,0,0,0,0,0,0,0,879.5178571,4005,12,1731.125,3950,60,0,1,1111084084,-18000,3214,0,17,32,1,15,0,0,0,14,32,1,18,0,0,TRUE,-1,-1,-1,0.208227943,0.380589783,0.021403849,0.503661913,0.999930777,0.00739305,-1,-1,-1,0.225829988,0.379786792,0.020891596,1,20,31,1,2,6,3,0,1289.821406,7222.999278,3009.583208,72230,0,0,0,0,0,0,0,0,0,16,8,0,2,14,4
FALSE,/data/pdfrate/contagio-ben/kt0m3nd5pq.pdf,3,27,48,1,0,13,8,3,FALSE,0,0,0,0,0,0,0,3,2,0,17,5,1,5,0,0,0,0,0,0,0,0,0,0,0,17,0,0,3,0,1,8,3,1,1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,627.2941176,3809,39,1617.6,3619,454,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1,-1,-1,0.472146494,0.533420923,0.363606504,0.999589424,0.999589424,0.999589424,-1,-1,-1,0.517216839,0.546805715,0.480210215,0,32,53,1,0,10,11,0,716.352899,4059.33198,1522.24981,12178,1,15,20,1,0,3,2,3,14,28,1,0,9,5,3
FALSE,/data/pdfrate/contagio-ben/pressemitteilung_genesis.pdf,0,11,14,1,0,1,2,0,TRUE,0,0,0,0,0,0,0,0,8,0,40,9,1,7,0,0,0,0,0,0,0,0,0,0,0,40,0,0,3,0,1,9,0,1,1,0,0,-1,-1,-1,0,3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50268.55,1915399,8,222764.6667,1915232,714,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1,-1,-1,0.853166795,0.998837103,0.002873449,0.999998012,0.999998012,0.999998012,-1,-1,-1,0.642308115,0.962932906,0.002841643,2,13,33,1,4,7,9,0,50305.39874,670738.4431,223579.5307,2012216,0,0,0,0,0,0,0,1,42,301,1,183,70,6,3
FALSE,/data/pdfrate/contagio-ben/Yebio_China.pdf,0,6,6,1,0,0,0,10,FALSE,0,0,0,0,0,0,0,10,5,0,41,11,2,12,0,0,0,0,0,0,0,0,0,0,0,41,0,0,5,0,2,11,0,2,2,0,0,-1,-1,-1,3,14,26,1,4,5,3,-1147358105,-7201,0,0,0,0,0,0,0,0,0,1281.658537,17016,12,4311.818182,16952,192,0,1,1147358104,7200,3319,0,10,32,1,22,0,0,0,10,32,1,22,0,0,TRUE,-1,-1,-1,0.303003441,0.901143142,0.0178766,0.504903138,0.999907662,0.009898613,-1,-1,-1,0.207604942,0.400469076,0.0171933,1,20,31,1,2,6,3,0,1320.707285,10829.79783,4922.635916,54149,0,0,0,0,0,0,0,1,22,32,1,0,6,4,4
FALSE,/data/pdfrate/contagio-ben/p4893sp.pdf,0,0,18,1,0,6,12,0,TRUE,0,0,0,0,0,0,0,0,17,0,64,34,3,10,0,1,0,0,1,0,0,0,0,0,0,64,3,0,2,0,3,34,0,4,4,0,2,1291322867,-18000,3736,2,10,26,3,4,7,5,-489190,0,0,987363,0,0,0,0,0,0,0,7350.1875,364118,14,13545.17647,363927,25,0,2,1291812057,-18000,3737,0,0,32,1,14,0,18,0,0,32,2,25,0,7,TRUE,-1,-1,-1,0.509772791,0.876380051,0.004150089,0.650461656,0.999989541,0.002746506,0.064510461,0.064510461,0.064510461,0.440959541,0.876647799,0.005271283,1,10,21,1,2,4,5,2.065345081,7469.718633,239030.8805,14060.64665,478062,0,64,88,1,0,13,11,0,10,21,1,4,4,3,4
FALSE,/data/pdfrate/contagio-ben/227 SR FC (CW) TORQUE.pdf,0,4,4,1,0,0,0,2,FALSE,0,0,0,0,0,0,0,2,6,0,37,19,2,4,0,0,0,1,3,0,2,0,0,0,0,37,0,0,1,0,2,19,0,2,2,0,1,1244812627,-18000,2058,3,14,26,1,4,5,3,0,0,1,39228,0,0,0,0,0,0,0,2067.918919,17530,13,3782.894737,17394,19,0,1,1244812627,-18000,2058,0,0,32,1,18,0,14,0,0,32,1,21,0,11,TRUE,-1,-1,-1,0.647729604,0.944807776,0.015926752,0.505821856,0.999935883,0.01170783,0.670847119,0.935177349,0.153227668,0.017773332,0.017773332,0.017773332,2,20,33,2,3,7,3,0.503039163,2107.621565,77981.92202,4104.315573,77982,0,0,0,0,0,0,0,1,4,38,1,4,5,25,7
FALSE,/data/pdfrate/contagio-ben/Turnierordnung2009.pdf,0,3,4,1,0,0,1,18,FALSE,0,0,0,0,0,18,0,0,4,0,59,18,2,13,0,0,0,0,0,0,0,0,0,0,0,59,0,0,9,0,2,18,0,2,2,0,1,1232623181,0,7133,0,24,35,1,4,4,3,1232623182,1,0,0,0,0,0,0,0,0,0,659.0847458,3449,9,1656.388889,3392,170,0,0,-1,-1,-1,0,14,32,1,18,0,0,0,11,32,1,21,0,0,TRUE,-1,-1,-1,0.460706106,0.928309404,0.034011126,0.510361247,0.999902825,0.020819668,-1,-1,-1,0.448585164,0.785146855,0.029808323,1,19,37,2,2,8,8,0,697.6779543,4573.666158,2286.833206,41163,0,0,0,0,0,0,0,1,16,22,1,4,1,1,2
FALSE,/data/pdfrate/contagio-ben/AutoimmuneHepatitis.pdf,0,0,0,0,0,0,0,8,FALSE,0,0,0,0,0,0,0,8,5,0,32,7,1,7,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,1,7,0,1,1,0,0,-1,-1,-1,0,8,13,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1531,14561,27,6235.714286,14507,2280,0,1,-1,-1,-1,0,0,32,1,18,0,14,0,0,32,1,18,0,14,FALSE,-1,-1,-1,0.900524242,0.976293404,0.601131542,0.999920314,0.999920314,0.999920314,-1,-1,-1,0.973315138,0.976014503,0.970615774,0,8,13,1,0,1,4,0,1568.656201,25098.48745,7170.998976,50197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
FALSE,/data/pdfrate/contagio-ben/SP_13-2009_os.pdf,0,7,7,1,0,0,0,8,FALSE,0,0,0,0,0,0,0,8,6,0,46,17,2,11,0,0,0,1,1,0,0,0,0,0,0,46,0,0,4,0,2,17,0,2,2,0,1,1235566382,-18000,3575,2,14,24,1,3,4,3,0,0,0,6300,0,0,0,0,0,0,0,721.5652174,7779,13,1587.411765,7648,163,0,1,1235566382,-18000,3575,0,0,32,1,15,0,17,0,0,32,1,22,0,10,TRUE,-1,-1,-1,0.26874719,0.52758226,0.031959943,0.51074392,0.999856938,0.021630901,0.642689557,0.642689557,0.642689557,0.326702432,0.528583691,0.036137339,2,20,33,2,3,7,3,0.180257511,759.7825922,8737.497816,2055.882232,34950,0,0,0,0,0,0,0,0,11,27,1,6,6,4,4
FALSE,/data/pdfrate/contagio-ben/f5305c.pdf,0,0,18,1,0,6,12,0,TRUE,0,2,0,1,0,0,0,0,25,0,70,26,3,13,0,0,0,0,0,0,0,3,0,2,0,70,0,0,2,0,3,26,0,3,3,0,1,1195661171,0,2306,0,20,28,1,0,3,5,-28517600,14400,0,0,0,7,8,1,0,0,1,3081.542857,34832,20,7240.884615,34743,22,0,2,1224178771,-14400,2361,0,0,32,1,22,0,10,0,0,32,1,22,0,10,FALSE,0.479635005,0.949623193,0.009646818,0.213123518,0.998209822,0.012023039,0.641367617,0.999981686,0.005480418,-1,-1,-1,0.314032068,0.614727078,0.013337057,2,16,48,1,12,10,10,0,3120.199955,109206.9454,8400.538138,218414,0,25,32,1,0,3,4,0,10,27,1,8,6,3,6
FALSE,/data/pdfrate/contagio-ben/MiddlebyReleaseACGAward.pdf,0,6,6,1,0,0,0,4,FALSE,0,0,0,0,0,0,0,4,3,0,25,7,2,5,0,0,0,2,2,0,0,0,0,0,0,25,0,0,2,0,2,7,0,2,2,0,1,1203629966,-18000,3482,2,14,24,1,3,4,3,0,0,1,51822,0,0,0,0,0,0,0,1587.4,20477,13,5144.714286,20343,126,0,1,1203629966,-18000,3482,0,0,32,1,18,0,14,0,0,32,1,22,0,10,TRUE,-1,-1,-1,0.380738638,0.879887172,0.022001472,0.507002698,0.999877361,0.014128035,0.248933039,0.306377238,0.19148884,0.417893059,0.811454501,0.024331616,2,20,33,2,3,7,3,1.271081678,1630.799935,20384.98981,5824.284882,40770,0,0,0,0,0,0,0,1,42,54,1,0,5,7,4
FALSE,/data/pdfrate/contagio-ben/25.pdf,0,1,3,1,0,2,0,0,TRUE,0,0,0,0,0,0,0,0,6,0,117,34,1,18,0,0,4,10,14,0,0,0,0,0,0,117,0,0,10,0,1,34,0,1,1,0,0,-1,-1,-1,0,1,12,1,0,8,3,0,0,4,2596365,0,0,0,1,0,0,0,2115.965812,34699,7,6759.411765,34615,17,0,0,-1,-1,-1,0,11,32,1,21,0,0,0,11,32,1,21,0,0,FALSE,-1,-1,-1,0.183720027,0.933822068,0.002898217,0.999984098,0.999984098,0.999984098,0.729172938,0.984817162,0.06737459,0.166926141,0.296198526,0.001490852,0,3,9,1,0,5,1,10.32212345,2149.863229,25153.39748,7398.058606,251534,0,0,0,1,0,0,0,0,2,17,1,0,12,3,1
FALSE,/data/pdfrate/contagio-ben/JASAAE.pdf,0,0,0,0,0,0,0,8,FALSE,0,0,0,0,0,0,0,8,8,0,59,25,2,13,0,0,0,4,4,0,0,0,0,0,0,59,0,0,4,0,2,25,0,2,2,0,1,1277210320,0,4927,0,0,0,0,0,0,0,-170901,14400,0,30096,0,0,0,0,0,0,0,974.2372881,6987,13,1868.04,6938,240,0,1,1277381221,-14400,4928,0,0,32,1,15,0,17,0,0,32,1,16,0,16,TRUE,-1,-1,-1,0.398093316,0.803828874,0.024492054,0.50847415,0.999916181,0.01703212,0.891872863,0.92360692,0.847834104,0.522245692,0.804616777,0.027157514,1,27,40,1,3,6,4,0.504526252,1011.05083,14912.99627,2386.079905,59652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
